Dates_Sold,Median_Price,Quantity_Sold
Aug 21 2017,49.99,1
Nov 4 2017,69.99,1
Nov 29 2017,69.99,1
Jan 15 2018,54,1
Mar 9 2018,50,1
Mar 14 2018,51.99,1
Mar 21 2018,59.99,1
May 3 2018,59.99,1
Jul 23 2018,57,1
Oct 6 2018,59,2
Oct 15 2018,59,1
Nov 13 2018,83.33,1
Nov 26 2018,35.2,1
Dec 25 2018,55.56,1
Jan 4 2019,69.9,1
Mar 16 2019,59.19,1
May 9 2019,44,1
May 14 2019,65.99,1
Jun 3 2019,65.99,1
Jul 15 2019,65,1
Jul 20 2019,63.5,1
Aug 24 2019,67.41,1
Sep 19 2019,58,1
Nov 17 2019,75,1
Dec 8 2019,75,1
Dec 25 2019,71.11,1
Jan 3 2020,59.99,1
Feb 14 2020,99.99,1
Apr 5 2020,79,1
May 14 2020,60,1
May 24 2020,76,1
May 28 2020,99.98,1
May 30 2020,99.98,3
Jun 15 2020,99.99,1
Jun 16 2020,105,1
Jun 21 2020,77,1
Jul 6 2020,80,1
Jul 19 2020,89.09,1
