Dates_Sold,Median_Price,Quantity_Sold
May 31 2018,89.95,1
Aug 9 2018,89.95,1
Sep 7 2018,60,1
Sep 13 2018,59.15,1
Oct 25 2018,71.53,1
Nov 7 2018,63.9,1
Nov 12 2018,64,1
Mar 20 2019,74.99,1
Apr 27 2019,99.99,1
May 26 2019,74.99,1
Jul 23 2019,60,1
Aug 1 2019,42.02,1
Aug 11 2019,59.99,1
Aug 26 2019,56.22,1
Sep 21 2019,26.11,1
Sep 30 2019,55,1
Oct 2 2019,36,1
Oct 10 2019,40,1
Jan 7 2020,61.94,1
Mar 15 2020,40.96,1
Mar 17 2020,29.44,1
May 25 2020,44.99,1
Jun 3 2020,66,1
Jun 8 2020,60.99,1
Jun 9 2020,66,1
Jun 19 2020,64.99,2
Jun 25 2020,62.45,1
Jul 3 2020,62.45,1
