Dates_Sold,Median_Price,Quantity_Sold
May 16 2018,89.99,1
Jun 20 2018,80,1
Jul 18 2018,82.22,1
Oct 25 2018,28.26,1
Oct 26 2018,57,1
Nov 14 2018,59.99,1
Dec 5 2018,57.99,1
Dec 29 2018,28.3,1
Jan 15 2019,58.99,1
Jan 22 2019,50.35,1
Feb 19 2019,59,1
Mar 20 2019,59.19,1
May 10 2019,56,1
Jul 4 2019,46.95,1
Jul 8 2019,35.15,1
Jul 13 2019,57.42,1
Aug 2 2019,55.9,2
Aug 8 2019,49.99,1
Aug 23 2019,35.35,1
Aug 24 2019,35.31,1
Aug 25 2019,37.5,1
Aug 31 2019,49.99,1
Sep 1 2019,49.99,1
Sep 5 2019,44,1
Nov 2 2019,37.84,1
Nov 6 2019,49.99,1
Jan 14 2020,52.22,1
Jan 17 2020,54,1
May 14 2020,54,1
May 25 2020,41.99,1
Jun 4 2020,44.67,1
Jun 8 2020,44.67,1
Jun 17 2020,53,1
Jun 26 2020,58.99,1
