Dates_Sold,Median_Price,Quantity_Sold
Mar 8 2017,160,1
Sep 12 2017,66,1
Nov 3 2017,140,1
Nov 12 2017,145.99,1
Dec 8 2017,150,1
Oct 25 2018,179.99,1
Nov 16 2018,150,1
Jun 16 2019,149.99,1
Jul 28 2019,125.58,1
Jul 30 2019,147.99,1
Aug 29 2019,80,1
Aug 31 2019,80,1
Sep 9 2019,75.23,1
Sep 10 2019,75.99,1
Sep 11 2019,75.99,1
Sep 12 2019,75.99,1
Sep 24 2019,69.52,1
Sep 27 2019,42,1
Sep 29 2019,69.1,1
Oct 9 2019,79.99,1
Nov 5 2019,80,1
Nov 7 2019,80,1
Nov 16 2019,80,1
Nov 22 2019,45.17,1
Nov 28 2019,79.99,1
Nov 29 2019,77.78,1
Dec 12 2019,72.99,1
Dec 22 2019,55,1
Dec 25 2019,66.67,2
Dec 30 2019,70,1
Jan 2 2020,72,1
Jan 9 2020,70,1
Jan 18 2020,74.99,1
Jan 22 2020,60,2
Jan 23 2020,59.4,1
Jan 24 2020,99.99,1
Feb 1 2020,57,1
Feb 7 2020,80,1
Feb 8 2020,45.1,1
Feb 12 2020,75,1
Feb 14 2020,75,1
Feb 21 2020,44.44,1
Feb 28 2020,46.01,1
Mar 1 2020,74.99,1
Mar 6 2020,74.99,1
Mar 18 2020,79.99,1
Mar 20 2020,46.12,1
Mar 21 2020,79.99,1
Mar 29 2020,79.99,1
Apr 5 2020,62.99,1
Apr 7 2020,59.99,1
Apr 14 2020,79.99,1
Apr 17 2020,85.84,2
May 5 2020,80,1
May 18 2020,75.99,1
May 22 2020,99.99,1
Jun 1 2020,69,1
Jun 4 2020,66.99,1
Jun 6 2020,70,1
Jun 8 2020,89,2
Jun 11 2020,99.99,2
Jun 18 2020,88.89,2
Jun 21 2020,104.99,1
Jun 25 2020,104.99,1
Jun 28 2020,104.99,1
Jul 7 2020,104.99,1
Jul 11 2020,105,1
