Dates_Sold,Median_Price,Quantity_Sold
Sep 3 2016,199,1
Jan 8 2018,236,1
May 26 2018,175,1
Oct 10 2018,222.22,1
Feb 27 2019,120.1,1
Mar 1 2019,199.99,1
Jun 12 2019,140,1
Aug 1 2019,179.99,1
Aug 20 2019,127.78,1
Aug 26 2019,130,1
Sep 7 2019,89.99,1
Sep 12 2019,99,1
Sep 17 2019,89.99,1
Sep 19 2019,90,1
Sep 22 2019,95,1
Sep 23 2019,105.56,1
Sep 29 2019,125.25,1
Oct 11 2019,115,1
Oct 16 2019,90,1
Oct 18 2019,100,1
Oct 25 2019,90,1
Nov 6 2019,90,1
Nov 13 2019,110,1
Nov 16 2019,110,1
Nov 21 2019,110,1
Nov 29 2019,62.2,1
Dec 16 2019,46.05,1
Dec 20 2019,75,2
Dec 24 2019,75,1
Dec 25 2019,75,1
Dec 28 2019,75,1
Jan 11 2020,99.51,1
Jan 30 2020,99.99,1
Feb 7 2020,48.1,1
Feb 10 2020,86.88,1
Feb 14 2020,86.88,2
Feb 21 2020,89.1,1
Mar 3 2020,80.88,2
Mar 5 2020,79.99,1
Mar 6 2020,99.99,1
Mar 18 2020,99.99,1
Mar 20 2020,119.99,1
Mar 24 2020,105.56,1
Apr 1 2020,114,1
Apr 17 2020,90,1
May 1 2020,106.49,1
May 6 2020,130,2
May 8 2020,130,1
May 22 2020,83.1,1
May 26 2020,100.78,1
May 29 2020,139.99,2
Jun 11 2020,120,1
Jun 22 2020,123.99,1
Jun 29 2020,139.99,1
Jul 2 2020,92,1
Jul 7 2020,134.99,1
Jul 14 2020,134.99,1
Jul 19 2020,137.25,1
