Dates_Sold,Median_Price,Quantity_Sold
Apr 18 2018,114,1
May 23 2018,79.99,1
Jun 6 2018,80,1
Aug 5 2018,58,1
Sep 30 2018,63.2,1
Nov 4 2018,49.7,1
Nov 5 2018,49.75,1
Nov 8 2018,59.91,1
Nov 16 2018,55.56,1
Dec 26 2018,58.92,1
May 3 2019,58,1
Jul 18 2019,37.3,1
Aug 11 2019,62.99,1
Sep 29 2019,46.5,1
Oct 14 2019,46.5,1
Feb 28 2020,32,1
Apr 8 2020,20.56,1
Apr 12 2020,53,1
Apr 22 2020,53,1
Apr 27 2020,50,1
May 13 2020,23,1
Jun 19 2020,49.99,1
Jun 20 2020,49.99,1
Jul 5 2020,45,1
Jul 12 2020,49,1
Jul 14 2020,48.5,1
